ProductCode,Date,Quantity,Price,Amount
0102-9223-2849,09/22/2026 11:06:44,3238.189696172647000,37192.330306575480000,1204358.21
4650-6899-2428,06/28/2026 07:28:10,2515.426657808887000,18758.674575121120000,471860.70
8669-5905-0538,05/24/2026 16:19:16,5621.590941053536000,26336.221159037440000,1480514.62
9472-2355-1104,09/30/2026 16:47:27,8092.085716732456000,11665.5055639376360000,943982.71
5270-5844-6967,12/15/2026 21:34:04,9996.940545966964000,24562.946433279360000,2455543.15
2149-8147-1639,01/13/2027 19:53:59,6506.196482292823000,43640.383799336320000,2839329.12
8266-5320-3300,10/22/2026 20:52:26,3963.716398027333000,20298.019197222280000,804555.92
2523-1120-9683,08/20/2026 18:38:57,4671.550979857234000,47254.158991286760000,2207502.13
5583-8767-2285,09/15/2026 12:17:23,9037.328264350435000,18768.759055261720000,1696194.37
6662-1902-4148,10/02/2026 05:57:47,4558.257718235749000,48730.00020638960000,2221239.00
6499-3553-2201,05/29/2026 21:59:54,4538.003443656625000,27914.55342417040000,1266763.40
4602-8741-1778,06/07/2026 15:40:38,9751.140604096012000,16379.618647777160000,1597199.64
7746-4899-7897,10/10/2026 08:27:25,7080.757682684554000,32947.801538277080000,2332953.99
7438-2687-3267,07/21/2026 16:03:59,1827.0122083326658000,22738.174284015280000,415429.22
3989-0289-2682,04/04/2027 23:44:18,8473.420949718106000,33488.437778436720000,2837616.30
3762-6941-6839,08/16/2026 06:02:54,9149.503218409585000,44820.026081644200000,4100809.73
6150-6978-8628,02/23/2027 10:36:13,9879.306157178938000,30596.646616558680000,3022736.39
6569-5407-0332,09/29/2026 04:39:15,9135.024190186834000,24405.57811594920000,2229455.46
9093-8633-9631,04/03/2027 00:02:07,4050.825089747734000,47685.688732883920000,1931663.84
2183-9766-4179,10/05/2026 13:19:58,7533.379819190764000,47317.942622834080000,3564640.34
3170-8718-6784,02/13/2027 12:27:48,2879.302134934936000,46131.156910990920000,1328255.39
6130-0524-0207,05/23/2026 23:09:48,6097.038257628415000,43768.378820707040000,2668574.80
4417-6627-3513,03/04/2027 07:03:54,9690.846549681232000,29870.877077731960000,2894740.86
0758-9162-6499,10/26/2026 10:00:46,8688.061689984865000,14502.916104751640000,1260022.30
9816-0795-9953,06/30/2026 02:59:30,4446.826020167959000,16606.526158130880000,738463.33
2318-1614-4414,02/28/2027 17:28:35,7228.802719243018000,31311.949478648920000,2263479.06
9931-6352-9563,07/23/2026 08:44:05,4781.86143632983000,24009.306269008040000,1148091.76
3685-2049-4783,08/26/2026 03:20:17,3442.182986899972000,46779.860605201520000,1610248.40
3574-8209-0175,09/18/2026 06:12:39,4706.488408378717000,28446.140298722960000,1338814.30
6745-6769-7370,08/21/2026 03:36:46,4395.037690655452000,46986.204632447520000,2065061.40
9035-5668-4355,01/15/2027 16:38:46,2722.712030072236000,27926.297654426360000,760352.67
6216-4709-4047,11/02/2026 03:24:58,3099.932534286892000,41911.888256651680000,1299240.26
5009-1851-3076,01/01/2027 11:49:15,2708.548387557553000,36738.909745990240000,995091.15
9421-9100-9852,09/28/2026 05:14:40,4034.539116694468000,17582.919996989240000,709389.79
6263-5655-2065,05/01/2027 07:01:17,4126.026029597641000,42548.407688072680000,1755558.38
3518-7622-2100,04/28/2027 02:30:26,6989.562562336273000,49525.707093904960000,3461630.28
3773-4235-7727,12/15/2026 06:38:58,1451.785358171539000,18677.382637332640000,271155.51
0660-4300-8606,02/19/2027 08:48:47,4107.145573167787000,28707.890043841120000,1179074.84
3425-9395-5889,06/19/2026 23:15:01,2159.043643368487000,42649.529014348440000,920821.95
3117-7084-9397,02/15/2027 03:52:10,2712.960611812216000,14266.134685084640000,387034.61
9959-6549-5008,03/20/2027 01:39:54,1528.8380560354519000,47289.195687172160000,722975.22
4193-8157-1035,01/05/2027 06:12:05,1977.788735552899000,39690.588528676440000,784995.99
6560-9060-1928,04/01/2027 21:39:29,2125.063911205207000,43112.899327993240000,916176.66
8201-3198-3724,11/01/2026 18:19:55,7368.043555179928000,44904.405609355640000,3308576.16
4088-1508-3794,06/06/2026 18:38:47,4754.567670639688000,27902.437848793760000,1326640.29
6252-4406-0486,03/22/2027 11:41:38,4739.298735812986000,42254.282501045480000,2002556.68
3634-1151-2895,07/08/2026 22:00:42,5080.249088909011000,43820.249067360480000,2226177.80
4399-5981-4802,07/20/2026 14:05:05,2410.442504564176000,14378.338985083880000,346581.59
